prediction;truth
human_activity;human_activity
human_activity;human_activity
traffic;traffic
human_activity;human_activity
traffic;traffic
traffic;human_activity
human_activity;traffic
traffic;human_activity
human_activity;human_activity
human_activity;human_activity
human_activity;traffic
traffic;traffic
human_activity;human_activity
human_activity;human_activity
traffic;traffic
traffic;traffic
traffic;traffic
traffic;human_activity
human_activity;human_activity
traffic;traffic
traffic;traffic
human_activity;traffic
human_activity;human_activity
traffic;human_activity
traffic;human_activity
traffic;traffic
traffic;traffic
human_activity;human_activity
traffic;traffic
traffic;traffic
traffic;traffic
traffic;traffic
human_activity;human_activity
traffic;traffic
human_activity;human_activity
traffic;human_activity
traffic;human_activity
human_activity;human_activity
traffic;human_activity
human_activity;human_activity
traffic;traffic
traffic;human_activity
human_activity;traffic
traffic;traffic
traffic;traffic
traffic;traffic
traffic;traffic
alarm;traffic
traffic;traffic
traffic;traffic
traffic;human_activity
traffic;human_activity
human_activity;human_activity
traffic;traffic
traffic;traffic
traffic;traffic
traffic;traffic
human_activity;human_activity
human_activity;human_activity
human_activity;human_activity
human_activity;human_activity
human_activity;human_activity
human_activity;human_activity
traffic;traffic
traffic;traffic
traffic;human_activity
human_activity;human_activity
traffic;traffic
human_activity;traffic
traffic;traffic
traffic;traffic
human_activity;human_activity
human_activity;human_activity
human_activity;human_activity
human_activity;human_activity
traffic;construction
traffic;construction
human_activity;construction
traffic;construction
traffic;construction
human_activity;human_activity
construction;construction
alarm;human_activity
alarm;human_activity
traffic;construction
alarm;human_activity
alarm;human_activity
alarm;human_activity
alarm;human_activity
traffic;human_activity
human_activity;human_activity
alarm;human_activity
alarm;human_activity
alarm;human_activity
alarm;human_activity
human_activity;alarm
human_activity;alarm
human_activity;human_activity
human_activity;alarm
human_activity;alarm
human_activity;alarm
construction;human_activity
human_activity;alarm
human_activity;alarm
alarm;alarm
alarm;alarm
alarm;human_activity
alarm;alarm
human_activity;alarm
human_activity;alarm
human_activity;alarm
traffic;alarm
human_activity;human_activity
human_activity;alarm
alarm;alarm
alarm;alarm
alarm;alarm
human_activity;alarm
alarm;alarm
construction;alarm
traffic;construction
construction;construction
construction;construction
traffic;construction
human_activity;construction
traffic;construction
