sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-22T16:27:08.885866,32.1,,
2026-04-22T16:27:09.523191,33.1,,
2026-04-22T16:27:10.172173,34.8,,
2026-04-22T16:27:10.821756,35.0,2026-04-22T16:27:10.097,7.59
2026-04-22T16:27:11.455764,34.1,2026-04-22T16:27:11.097,7.88
2026-04-22T16:27:12.102703,36.6,2026-04-22T16:27:11.597,7.93
2026-04-22T16:27:12.736218,37.0,2026-04-22T16:27:12.597,7.96
2026-04-22T16:27:13.372245,36.1,2026-04-22T16:27:13.097,7.99
2026-04-22T16:27:14.007199,36.7,2026-04-22T16:27:14.097,14.48
2026-04-22T16:27:14.637701,35.1,2026-04-22T16:27:14.597,15.45
2026-04-22T16:27:15.304421,37.6,2026-04-22T16:27:15.597,14.18
2026-04-22T16:27:15.927900,37.9,2026-04-22T16:27:16.097,15.94
2026-04-22T16:27:16.571966,36.2,2026-04-22T16:27:17.097,15.32
2026-04-22T16:27:17.221258,36.6,2026-04-22T16:27:18.097,16.31
2026-04-22T16:27:17.857775,36.1,2026-04-22T16:27:18.597,14.29
2026-04-22T16:27:18.490407,34.4,2026-04-22T16:27:19.597,15.05
2026-04-22T16:27:19.143998,34.1,2026-04-22T16:27:20.097,14.92
2026-04-22T16:27:19.771853,34.3,2026-04-22T16:27:21.097,13.43
2026-04-22T16:27:20.420835,35.2,2026-04-22T16:27:21.597,13.52
2026-04-22T16:27:21.042929,34.5,2026-04-22T16:27:22.097,16.06
2026-04-22T16:27:21.704395,35.0,2026-04-22T16:27:23.097,14.88
2026-04-22T16:27:22.352096,34.3,2026-04-22T16:27:23.597,14.59
2026-04-22T16:27:22.972284,33.8,2026-04-22T16:27:24.097,14.91
2026-04-22T16:27:23.621528,34.2,2026-04-22T16:27:25.097,14.94
