received_at,device_id,dev_eui,dev_addr,f_cnt,f_port,frm_payload_base64,frm_payload_hex,frequency_hz,spreading_factor,bandwidth,coding_rate,rssi,snr,gateway_id,consumed_airtime_s
2026-04-20T12:19:07.685078454Z,mau-adafruit-01,70B3D57ED0076D00,260BF200,39,1,Qg0AAQsDUIHkAMZPJgE=,420d00010b035081e400c64f2601,868500000,7,125000,4/5,-101,6.5,openlogger-mlm-city,0.066816
2026-04-20T12:19:14.332652755Z,mau-adafruit-01,70B3D57ED0076D00,260BF200,40,,,,867700000,7,125000,4/5,-101,8,openlogger-mlm-city,0.046336
2026-04-20T12:19:50.453011702Z,mau-adafruit-01,70B3D57ED0076D00,260BF200,41,1,Qg0AAQsDUIHkAMZPJgE=,420d00010b035081e400c64f2601,868100000,7,125000,4/5,-108,6,openlogger-mlm-city,0.066816
2026-04-20T12:20:39.911194197Z,mau-adafruit-01,70B3D57ED0076D00,260BF200,42,1,Qg0AAQsDUIHkAMZPJgE=,420d00010b035081e400c64f2601,868300000,7,125000,4/5,-113,-0.5,openlogger-mlm-city,0.066816
2026-04-20T12:21:29.375481300Z,mau-adafruit-01,70B3D57ED0076D00,260BF200,43,1,Qg0AAQsDUIHkAMZPJgE=,420d00010b035081e400c64f2601,867300000,7,125000,4/5,-102,7.8,openlogger-mlm-city,0.066816
2026-05-14T12:54:06.752144183Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,,1,TQAAAAADUIHkAMZPJgA=,4d00000000035081e400c64f2600,868100000,7,125000,4/5,-102,8.8,openlogger-mlm-city,0.066816
2026-05-14T12:54:13.412562616Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,1,,,,868300000,7,125000,4/5,-102,,openlogger-mlm-city,0.046336
2026-05-14T12:54:26.764573918Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,2,1,TA42GAEDUIHkAMZPJgA=,4c0e361801035081e400c64f2600,867300000,7,125000,4/5,-101,7.8,openlogger-mlm-city,0.066816
2026-05-14T12:54:36.760399956Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,3,1,TA42IgIDUIHkAMZPJgQ=,4c0e362202035081e400c64f2604,867100000,7,125000,4/5,-103,8.8,openlogger-mlm-city,0.066816
2026-05-14T12:54:56.800599802Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,5,1,TQ42NgQDUIHkAMZPJgA=,4d0e363604035081e400c64f2600,867900000,7,125000,4/5,-102,9.3,openlogger-mlm-city,0.066816
2026-05-14T12:55:06.761819051Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,6,1,TA43BAUDUIHkAMZPJgA=,4c0e370405035081e400c64f2600,868500000,7,125000,4/5,-102,4,openlogger-mlm-city,0.066816
2026-05-14T12:55:16.760954295Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,7,1,TA43DgYDUIHkAMZPJgQ=,4c0e370e06035081e400c64f2604,868100000,7,125000,4/5,-102,8,openlogger-mlm-city,0.066816
2026-05-14T12:55:26.769679082Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,8,1,TA43GAcDUIHkAMZPJgA=,4c0e371807035081e400c64f2600,867700000,7,125000,4/5,-98,2.5,openlogger-mlm-city,0.066816
2026-05-14T12:55:36.774386108Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,9,1,TA43IggDUIHkAMZPJgA=,4c0e372208035081e400c64f2600,868300000,7,125000,4/5,-97,3,openlogger-mlm-city,0.066816
2026-05-14T12:55:46.762195406Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,10,1,Tg43LAkDUIHkAMZPJgQ=,4e0e372c09035081e400c64f2604,867700000,7,125000,4/5,-101,9.3,openlogger-mlm-city,0.066816
2026-05-14T12:55:56.759089401Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,11,1,TQ43NgoDUIHkAMZPJgA=,4d0e37360a035081e400c64f2600,868100000,7,125000,4/5,-102,7,openlogger-mlm-city,0.066816
2026-05-14T12:56:06.762947967Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,12,1,VQ44BAsDUIHkAMZPJgI=,550e38040b035081e400c64f2602,868500000,7,125000,4/5,-103,7,openlogger-mlm-city,0.066816
2026-05-14T12:56:16.761220584Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,13,1,TQ44DgwDUIHkAMZPJgA=,4d0e380e0c035081e400c64f2600,867100000,7,125000,4/5,-99,8.3,openlogger-mlm-city,0.066816
2026-05-14T12:56:26.757245663Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,14,1,Tg44GA0DUIHkAMZPJgQ=,4e0e38180d035081e400c64f2604,868300000,7,125000,4/5,-103,6.5,openlogger-mlm-city,0.066816
2026-05-14T12:56:36.770550971Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,15,1,TQ44Ig4DUIHkAMZPJgA=,4d0e38220e035081e400c64f2600,867900000,7,125000,4/5,-107,8.8,openlogger-mlm-city,0.066816
2026-05-14T12:56:46.765741670Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,16,1,Tg44LA8DUIHkAMZPJgI=,4e0e382c0f035081e400c64f2602,867300000,7,125000,4/5,-101,8.3,openlogger-mlm-city,0.066816
2026-05-14T12:57:06.769222022Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,18,1,TQ45BBEDUIHkAMZPJgQ=,4d0e390411035081e400c64f2604,867700000,7,125000,4/5,-100,9.3,openlogger-mlm-city,0.066816
2026-05-14T12:57:13.412307659Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,19,,,,868300000,7,125000,4/5,-102,5,openlogger-mlm-city,0.046336
2026-05-14T12:57:26.765194785Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,20,1,WQ45GBIDUIHkAMZPJgQ=,590e391812035081e400c64f2604,868500000,7,125000,4/5,-103,5.5,openlogger-mlm-city,0.066816
2026-05-14T12:57:46.769162473Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,21,1,RQ45LBMDUIHkAMZPJgQ=,450e392c13035081e400c64f2604,867100000,7,125000,4/5,-102,8.5,openlogger-mlm-city,0.066816
2026-05-14T12:58:06.769857679Z,mau-adafruit-01,70B3D57ED0076D00,260BE2AB,22,1,RA46BBQDUIHkAMZPJgA=,440e3a0414035081e400c64f2600,867900000,7,125000,4/5,-105,7.8,openlogger-mlm-city,0.066816
