received_at,device_id,f_cnt,dB (A),Timestamp,seq_number,coordinates,label
2026-05-27T13:12:08.466619843Z,mau-adafruit-01,2,74,15:12:06,2,"55.60778, 12.99639",industrial
2026-05-27T13:12:18.467777652Z,mau-adafruit-01,3,77,15:12:16,3,"55.60778, 12.99639",industrial
2026-05-27T13:12:28.467538348Z,mau-adafruit-01,4,76,15:12:26,4,"55.60778, 12.99639",industrial
2026-05-27T13:12:38.454808074Z,mau-adafruit-01,5,79,15:12:36,5,"55.60778, 12.99639",industrial
2026-05-27T13:12:48.460193081Z,mau-adafruit-01,6,89,15:12:46,6,"55.60778, 12.99639",industrial
2026-05-27T13:13:08.460589269Z,mau-adafruit-01,8,85,15:13:06,8,"55.60778, 12.99639",industrial
2026-05-27T13:13:18.460940630Z,mau-adafruit-01,9,67,15:13:16,9,"55.60778, 12.99639",nature
2026-05-27T13:13:38.464675122Z,mau-adafruit-01,11,65,15:13:36,11,"55.60778, 12.99639",unknown
2026-05-27T13:13:45.110676178Z,mau-adafruit-01,12,,,,,
2026-05-27T13:13:58.460443143Z,mau-adafruit-01,13,66,15:13:56,12,"55.60778, 12.99639",traffic_transport
2026-05-27T13:14:18.466914553Z,mau-adafruit-01,14,65,15:14:16,13,"55.60778, 12.99639",nature
2026-05-27T13:14:45.136808575Z,mau-adafruit-01,15,70,15:14:36,14,"55.60778, 12.99639",unknown
2026-05-27T13:14:58.460818213Z,mau-adafruit-01,16,83,15:14:56,15,"55.60778, 12.99639",industrial
2026-05-27T13:15:25.134880193Z,mau-adafruit-01,17,75,15:15:16,16,"55.60778, 12.99639",construction
2026-05-27T13:15:45.246131438Z,mau-adafruit-01,18,72,15:15:36,17,"55.60778, 12.99639",industrial
2026-05-27T13:15:58.462863475Z,mau-adafruit-01,19,64,15:15:56,18,"55.60778, 12.99639",nature
2026-05-27T13:16:05.109885991Z,mau-adafruit-01,20,,,,,
2026-05-27T13:16:18.460218856Z,mau-adafruit-01,21,63,15:16:16,19,"55.60778, 12.99639",unknown
2026-05-27T13:16:28.481432255Z,mau-adafruit-01,22,68,15:16:26,20,"55.60778, 12.99639",unknown
2026-05-27T13:16:38.456387730Z,mau-adafruit-01,23,68,15:16:36,21,"55.60778, 12.99639",industrial
2026-05-27T13:16:48.467582885Z,mau-adafruit-01,24,67,15:16:46,22,"55.60778, 12.99639",unknown
2026-05-27T13:16:58.458677753Z,mau-adafruit-01,25,67,15:16:56,23,"55.60778, 12.99639",unknown
2026-05-27T13:17:08.469667528Z,mau-adafruit-01,26,64,15:17:06,24,"55.60778, 12.99639",unknown
2026-05-27T13:17:28.462848540Z,mau-adafruit-01,28,65,15:17:26,26,"55.60778, 12.99639",unknown
2026-05-27T13:17:48.457615016Z,mau-adafruit-01,30,66,15:17:46,28,"55.60778, 12.99639",construction
2026-05-27T13:17:58.471357772Z,mau-adafruit-01,31,68,15:17:56,29,"55.60778, 12.99639",nature
2026-05-27T13:18:05.114171719Z,mau-adafruit-01,32,,,,,
2026-05-27T13:18:18.458159492Z,mau-adafruit-01,33,66,15:18:16,30,"55.60778, 12.99639",nature
2026-05-27T13:18:45.159286259Z,mau-adafruit-01,34,66,15:18:36,31,"55.60778, 12.99639",unknown
2026-05-27T13:18:58.467019127Z,mau-adafruit-01,35,65,15:18:56,32,"55.60778, 12.99639",nature
2026-05-27T13:19:18.487900307Z,mau-adafruit-01,36,76,15:19:16,33,"55.60778, 12.99639",industrial
2026-05-27T13:19:38.467366584Z,mau-adafruit-01,37,70,15:19:36,34,"55.60778, 12.99639",industrial
2026-05-27T13:19:58.460080296Z,mau-adafruit-01,38,70,15:19:56,35,"55.60778, 12.99639",industrial
2026-05-27T13:20:05.119134965Z,mau-adafruit-01,39,,,,,
2026-05-27T13:20:18.469061138Z,mau-adafruit-01,40,71,15:20:16,36,"55.60778, 12.99639",unknown
2026-05-27T13:20:28.461275379Z,mau-adafruit-01,41,66,15:20:26,37,"55.60778, 12.99639",industrial
2026-05-27T13:20:48.468360825Z,mau-adafruit-01,43,63,15:20:46,39,"55.60778, 12.99639",industrial
2026-05-27T13:21:18.457895645Z,mau-adafruit-01,46,65,15:21:16,42,"55.60778, 12.99639",nature
2026-05-27T13:21:28.466727845Z,mau-adafruit-01,47,65,15:21:26,43,"55.60778, 12.99639",nature
2026-05-27T13:22:08.461900986Z,mau-adafruit-01,51,76,15:22:06,47,"55.60778, 12.99639",industrial
2026-05-27T13:22:18.464413941Z,mau-adafruit-01,52,77,15:22:16,48,"55.60778, 12.99639",unknown
2026-05-27T13:22:28.469006997Z,mau-adafruit-01,53,64,15:22:26,49,"55.60778, 12.99639",unknown
2026-05-27T13:22:38.463097312Z,mau-adafruit-01,54,69,15:22:36,50,"55.60778, 12.99639",industrial
2026-05-27T13:23:18.469765865Z,mau-adafruit-01,58,69,15:23:16,54,"55.60778, 12.99639",nature
2026-05-27T13:23:25.115431934Z,mau-adafruit-01,59,,,,,
2026-05-27T13:23:45.137953576Z,mau-adafruit-01,60,72,15:23:36,55,"55.60778, 12.99639",industrial
2026-05-27T13:24:21.807512204Z,mau-adafruit-01,61,96,15:24:06,56,"55.60778, 12.99639",industrial
2026-05-27T13:24:38.463317076Z,mau-adafruit-01,62,88,15:24:36,57,"55.60778, 12.99639",industrial
2026-05-27T13:25:15.140019314Z,mau-adafruit-01,63,76,15:25:06,58,"55.60778, 12.99639",unknown
2026-05-27T13:25:38.468284073Z,mau-adafruit-01,64,93,15:25:36,59,"55.60778, 12.99639",industrial
2026-05-27T13:26:08.460535727Z,mau-adafruit-01,65,78,15:26:06,60,"55.60778, 12.99639",industrial
2026-05-27T13:26:45.141380730Z,mau-adafruit-01,67,84,15:26:36,62,"55.60778, 12.99639",industrial
2026-05-27T13:26:58.518386743Z,mau-adafruit-01,68,71,15:26:56,63,"55.60778, 12.99639",unknown
2026-05-27T13:27:18.469186327Z,mau-adafruit-01,69,73,15:27:16,64,"55.60778, 12.99639",industrial
2026-05-27T13:27:38.471896903Z,mau-adafruit-01,70,69,15:27:36,65,"55.60778, 12.99639",industrial
2026-05-27T13:28:05.139675905Z,mau-adafruit-01,71,69,15:27:56,66,"55.60778, 12.99639",nature
2026-05-27T13:28:18.466532236Z,mau-adafruit-01,72,64,15:28:16,67,"55.60778, 12.99639",industrial
2026-05-27T13:28:38.461510993Z,mau-adafruit-01,73,70,15:28:36,68,"55.60778, 12.99639",unknown
2026-05-27T13:28:58.468271745Z,mau-adafruit-01,74,67,15:28:56,69,"55.60778, 12.99639",nature
2026-05-27T13:29:18.534367779Z,mau-adafruit-01,75,75,15:29:16,70,"55.60778, 12.99639",nature
2026-05-27T13:29:45.144562553Z,mau-adafruit-01,76,69,15:29:36,71,"55.60778, 12.99639",industrial
2026-05-27T13:29:58.471266650Z,mau-adafruit-01,77,75,15:29:56,72,"55.60778, 12.99639",industrial
2026-05-27T13:30:18.470752885Z,mau-adafruit-01,78,65,15:30:16,73,"55.60778, 12.99639",nature
2026-05-27T13:30:38.471244485Z,mau-adafruit-01,79,76,15:30:36,74,"55.60778, 12.99639",industrial
2026-05-27T13:30:45.133396904Z,mau-adafruit-01,80,,,,,
2026-05-27T13:30:58.470622928Z,mau-adafruit-01,81,75,15:30:56,75,"55.60778, 12.99639",industrial
2026-05-27T13:31:18.465127912Z,mau-adafruit-01,82,77,15:31:16,76,"55.60778, 12.99639",nature
2026-05-27T13:31:38.472257925Z,mau-adafruit-01,83,77,15:31:36,77,"55.60778, 12.99639",unknown
2026-05-27T13:31:58.466175158Z,mau-adafruit-01,84,67,15:31:56,78,"55.60778, 12.99639",industrial
2026-05-27T13:32:18.466999410Z,mau-adafruit-01,85,66,15:32:16,79,"55.60778, 12.99639",unknown
