sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-24T16:58:29.772583,48.1,2026-04-24T16:58:29.460,20.3
2026-04-24T16:58:30.404172,48.0,2026-04-24T16:58:29.960,19.55
2026-04-24T16:58:31.040034,48.0,2026-04-24T16:58:30.960,20.27
2026-04-24T16:58:31.683495,48.0,2026-04-24T16:58:31.960,19.85
2026-04-24T16:58:32.331476,48.2,2026-04-24T16:58:32.960,18.99
2026-04-24T16:58:32.971850,47.9,2026-04-24T16:58:33.960,18.7
2026-04-24T16:58:33.607554,48.1,2026-04-24T16:58:34.460,17.99
2026-04-24T16:58:34.245154,48.1,2026-04-24T16:58:35.460,19.4
2026-04-24T16:58:34.881505,48.1,2026-04-24T16:58:35.960,19.21
2026-04-24T16:58:35.520003,48.6,2026-04-24T16:58:36.960,19.16
2026-04-24T16:58:36.160543,48.8,2026-04-24T16:58:37.460,20.14
2026-04-24T16:58:36.809194,48.8,2026-04-24T16:58:37.960,20.5
2026-04-24T16:58:37.449142,47.5,2026-04-24T16:58:38.460,20.67
2026-04-24T16:58:39.370162,44.4,2026-04-24T16:58:40.460,21.2
2026-04-24T16:58:40.013117,45.7,2026-04-24T16:58:41.460,21.61
2026-04-24T16:58:40.641617,47.1,2026-04-24T16:58:41.960,21.76
2026-04-24T16:58:41.924467,43.1,2026-04-24T16:58:42.960,21.52
2026-04-24T16:58:42.566729,43.6,2026-04-24T16:58:43.960,22.01
2026-04-24T16:58:43.203021,45.9,2026-04-24T16:58:44.460,22.22
2026-04-24T16:58:43.846182,46.9,2026-04-24T16:58:44.960,21.71
